図鑑No,キャラ名,属性,レアリティ,攻撃力,防御力,素早さ,攻・防・素,生命力,総合値,カードID,紹介
1,炎の剣士　かずぽん,炎,N,15,20,35,70,100,170,KZ-0001,炎の力を宿した見習い剣士かずぽん
2,炎の武闘家　みきぽん,炎,N,14,19,36,69,100,169,KZ-0002,
3,木の剣士　かずぽん,木,N,13,22,33,68,110,178,KZ-0003,
4,木の武闘家　みきぽん,木,N,12,22,34,68,110,178,KZ-0004,
5,雷の剣士　かずぽん,雷,N,18,17,37,72,90,162,KZ-0005,
6,雷のみきたろうと布袋様,雷,N,19,18,35,72,90,162,KZ-0006,
7,水の剣士　かずぽん,水,N,16,19,36,71,95,166,KZ-0007,
8,水の武闘家　かずぽん,水,N,17,19,35,71,95,166,KZ-0008,
9,ポン・カラス,空,N,13,21,34,68,110,178,KZ-0009,
10,カバッチ,地,N,15,22,30,67,110,177,KZ-0010,
11,アント・ジョージ,虫,N,9,18,33,60,90,150,KZ-0011,
12,エビふりゃん　Ver.2.0,機,N,11,20,22,53,95,148,KZ-0012,
13,ファロン,獣,N,19,18,21,58,120,178,KZ-0013,
14,カンク,毒,N,9,18,40,67,110,177,KZ-0014,
15,モーレン,食,N,18,17,30,65,110,175,KZ-0015,
16,挑戦者　りょうた,K,N,11,22,32,65,105,170,KZ-0016,
17,炎の剣士　かずぽん,炎,R,17,22,37,76,110,186,KZ-0017,
18,炎の武闘家　みきぽん,炎,R,16,21,38,75,110,185,KZ-0018,
19,木の剣士　かずぽん,木,R,15,24,35,74,120,194,KZ-0019,
20,木の武闘家　みきぽん,木,R,14,24,36,74,120,194,KZ-0020,
21,雷の剣士　かずぽん,雷,R,20,19,39,78,100,178,KZ-0021,
22,雷のみきたろうと布袋様,雷,R,21,20,37,78,100,178,KZ-0022,
23,水の剣士　かずぽん,水,R,18,21,38,77,105,182,KZ-0023,
24,水の武闘家　かずぽん,水,R,19,21,37,77,105,182,KZ-0024,
25,ポン・カラス・K,空,R,16,22,36,74,120,194,KZ-0025,
26,ポン・カラス・M,空,R,15,23,36,74,120,194,KZ-0026,
27,ドン・カバッチ,地,R,17,24,32,73,120,193,KZ-0027,
28,アンディ・ジョージ,虫,R,11,20,35,66,100,166,KZ-0028,
29,エビふりゃん　Ver.2.1,機,R,13,22,24,59,105,164,KZ-0029,
30,グレイト・ファロン,獣,R,21,20,23,64,130,194,KZ-0030,
31,キング・カンク―,毒,R,11,20,42,73,120,193,KZ-0031,
32,モーレンマン,食,R,20,19,32,71,110,181,KZ-0032,
33,獄炎の剣士　かずぽん,炎,SR,18,23,38,79,115,194,KZ-0033,
34,獄炎の武闘家　みきぽん,炎,SR,17,22,39,78,115,193,KZ-0034,
35,神木の剣士　かずぽん,木,SR,16,25,36,77,125,202,KZ-0035,
36,神木の武闘家　みきぽん,木,SR,15,25,37,77,125,202,KZ-0036,
37,雷鳴の剣士　かずぽん,雷,SR,21,20,40,81,105,186,KZ-0037,
38,神鳴のみきたろうと布袋様,雷,SR,22,21,38,81,105,186,KZ-0038,
39,豪水の剣士　かずぽん,水,SR,19,22,39,80,110,190,KZ-0039,
40,豪水の武闘家　かずぽん,水,SR,20,22,38,80,110,190,KZ-0040,
41,ドン・カラス・K,空,SR,17,23,37,77,125,202,KZ-0041,
42,ドン・カラス・M,空,SR,16,24,37,77,125,202,KZ-0042,
43,キング・カバッチ,地,SR,18,25,33,76,125,201,KZ-0043,
44,B・アント・ジョージ,虫,SR,14,18,36,68,105,173,KZ-0044,
45,エビふりゃん　Ver.2.2,機,SR,14,23,25,62,110,172,KZ-0045,
46,キング・ファロン,獣,SR,22,21,24,67,135,202,KZ-0046,
47,W・キング・カンク―,毒,SR,12,21,43,76,125,201,KZ-0047,
48,銃戦士モーレンマン,食,SR,21,20,33,74,115,189,KZ-0048,
49,えだまめたろう,食,N,2,30,35,67,110,177,KZ-0049,
50,マットン,食,N,24,18,35,77,100,177,KZ-0050,
51,モグピー,地,N,20,19,35,74,105,179,KZ-0051,
52,プンプクポン,水,N,14,23,35,72,105,177,KZ-0052,
53,クネース,毒,N,15,20,40,75,110,185,KZ-0053,
54,レディバ,虫,N,9,21,35,65,95,160,KZ-0054,
55,マッカンティス,虫,N,17,15,39,71,90,161,KZ-0055,
56,ブラミッチ,虫,N,13,22,37,72,90,162,KZ-0056,
57,パサラン,無,N,15,20,35,70,100,170,KZ-0057,
58,ススリン,獣,N,15,20,37,72,95,167,KZ-0058,
59,ジャラフー,獣,N,18,19,35,72,105,177,KZ-0059,
60,ベルちゃん,獣,N,13,18,36,67,110,177,KZ-0060,
61,たこやきつつき,空,N,15,25,35,75,105,180,KZ-0061,
62,ギャンブラーりゅう,K,N,16,20,35,71,100,171,KZ-0062,
63,イケイケ　たける,K,N,17,21,36,74,110,184,KZ-0063,
64,魔女　みきぽん,K,N,12,20,33,65,90,155,KZ-0064,
65,超　りょうた,K,R,13,24,34,71,115,186,KZ-0065,
66,えだまめたろう,食,R,3,22,37,62,120,182,KZ-0066,
67,見習い剣士マットン,食,R,26,20,37,83,110,193,KZ-0067,
68,這い上がるモグピー,地,R,22,21,37,80,115,195,KZ-0068,
69,海針プンプクポン,水,R,16,25,37,78,115,193,KZ-0069,
70,大毒蛇クネース,毒,R,17,22,42,81,100,181,KZ-0070,
71,道虫レディバ,虫,R,11,23,37,71,105,176,KZ-0071,
72,大鎌マッカンティス,虫,R,19,17,41,77,100,177,KZ-0072,
73,針虫ブラホムミッチ,虫,R,15,24,39,78,100,178,KZ-0073,
74,クワギオン,虫,N,17,17,38,72,105,177,KZ-0074,
75,クワガルド,虫,R,19,19,40,78,115,193,KZ-0075,
76,ペングル,水,N,11,19,38,68,105,173,KZ-0076,
77,ハリクル,地,N,7,28,33,68,105,173,KZ-0077,
78,ペンギアス,水,R,13,21,40,74,115,189,KZ-0078,
79,魔導士　みきぽん,K,R,14,22,35,71,100,171,KZ-0079,
80,紙切師　そうた,K,N,14,19,34,67,110,177,KZ-0080,
81,ゴロマグ,炎,N,11,28,28,67,115,182,KZ-0081,
82,ゴースン,炎,N,10,18,39,67,115,182,KZ-0082,
83,,,,,,,0,,0,KZ-0083,
84,,,,,,,0,,0,KZ-0084,
85,,,,,,,0,,0,KZ-0085,
86,,,,,,,0,,0,KZ-0086,
,,,,,,,0,,0,KZ-0087,
,,,,,,,0,,0,KZ-0088,
,,,,,,,0,,0,KZ-0089,
,,,,,,,0,,0,KZ-0090,
,,,,,,,0,,0,KZ-0091,
,,,,,,,0,,0,KZ-0092,
,,,,,,,0,,0,KZ-0093,
,,,,,,,0,,0,KZ-0094,
,,,,,,,0,,0,KZ-0095,
,,,,,,,0,,0,KZ-0096,
,,,,,,,0,,0,KZ-0097,
,,,,,,,0,,0,KZ-0098,
,,,,,,,0,,0,KZ-0099,
,,,,,,,0,,0,KZ-0100,
,,,,,,,0,,0,KZ-0101,
,,,,,,,0,,0,KZ-0102,
,,,,,,,0,,0,KZ-0103,
,,,,,,,0,,0,KZ-0104,
,,,,,,,0,,0,KZ-0105,
,,,,,,,0,,0,KZ-0106,
,,,,,,,0,,0,KZ-0107,
,,,,,,,0,,0,KZ-0108,
,,,,,,,0,,0,KZ-0109,
,,,,,,,0,,0,KZ-0110,
,,,,,,,0,,0,KZ-0111,
,,,,,,,0,,0,KZ-0112,
,,,,,,,0,,0,KZ-0113,
,,,,,,,0,,0,KZ-0114,
,,,,,,,0,,0,KZ-0115,
,,,,,,,0,,0,KZ-0116,
,,,,,,,0,,0,KZ-0117,
,,,,,,,0,,0,KZ-0118,
,,,,,,,0,,0,KZ-0119,
,,,,,,,0,,0,KZ-0120,
,,,,,,,0,,0,KZ-0121,
,,,,,,,0,,0,KZ-0122,
,,,,,,,0,,0,KZ-0123,
,,,,,,,0,,0,KZ-0124,
,,,,,,,0,,0,KZ-0125,
,,,,,,,0,,0,KZ-0126,
,,,,,,,0,,0,KZ-0127,
,,,,,,,0,,0,KZ-0128,
,,,,,,,0,,0,,
,,,,,,,0,,0,,
,,,,,,,0,,0,,
,,,,,,,0,,0,,
,,,,,,,0,,0,,
,,,,,,,0,,0,,
,,,,,,,0,,0,,
,,,,,,,0,,0,,
,,,,,,,0,,0,,
,,,,,,,0,,0,,
,,,,,,,0,,0,,
,,,,,,,0,,0,,
,,,,,,,0,,0,,
,,,,,,,0,,0,,
,,,,,,,0,,0,,
,,,,,,,0,,0,,
,,,,,,,0,,0,,
,,,,,,,0,,0,,
,,,,,,,0,,0,,
,,,,,,,0,,0,,
,,,,,,,0,,0,,
,,,,,,,0,,0,,
,,,,,,,0,,0,,
,,,,,,,0,,0,,
,,,,,,,0,,0,,
,,,,,,,0,,0,,
,,,,,,,0,,0,,
,,,,,,,0,,0,,
,,,,,,,0,,0,,
,,,,,,,0,,0,,
,,,,,,,0,,0,,
,,,,,,,0,,0,,
,,,,,,,0,,0,,
,,,,,,,0,,0,,
,,,,,,,0,,0,,
,,,,,,,0,,0,,
,,,,,,,0,,0,,
,,,,,,,0,,0,,
,,,,,,,0,,0,,
,,,,,,,0,,0,,
,,,,,,,0,,0,,
,,,,,,,0,,0,,
,,,,,,,0,,0,,
,,,,,,,0,,0,,
,,,,,,,0,,0,,
,,,,,,,0,,0,,
,,,,,,,0,,0,,
,,,,,,,0,,0,,
,,,,,,,0,,0,,
,,,,,,,0,,0,,
,,,,,,,0,,0,,
,,,,,,,0,,0,,
,,,,,,,0,,0,,
,,,,,,,0,,0,,
,,,,,,,0,,0,,
,,,,,,,0,,0,,
,,,,,,,0,,0,,
,,,,,,,0,,0,,
,,,,,,,0,,0,,
,,,,,,,0,,0,,
,,,,,,,0,,0,,
,,,,,,,0,,0,,
,,,,,,,0,,0,,
,,,,,,,0,,0,,
,,,,,,,0,,0,,
,,,,,,,0,,0,,
,,,,,,,0,,0,,
,,,,,,,0,,0,,
,,,,,,,0,,0,,
,,,,,,,0,,0,,
,,,,,,,0,,0,,
,,,,,,,0,,0,,
,,,,,,,0,,0,,
,,,,,,,0,,0,,
,,,,,,,0,,0,,
,,,,,,,0,,0,,
,,,,,,,0,,0,,
,,,,,,,0,,0,,
,,,,,,,0,,0,,
,,,,,,,0,,0,,
,,,,,,,0,,0,,
,,,,,,,0,,0,,
,,,,,,,0,,0,,
,,,,,,,0,,0,,
,,,,,,,0,,0,,
,,,,,,,0,,0,,
,,,,,,,0,,0,,
,,,,,,,0,,0,,
,,,,,,,0,,0,,
,,,,,,,0,,0,,
,,,,,,,0,,0,,
,,,,,,,0,,0,,
,,,,,,,0,,0,,
,,,,,,,0,,0,,
,,,,,,,0,,0,,
,,,,,,,0,,0,,
,,,,,,,0,,0,,
,,,,,,,0,,0,,
,,,,,,,0,,0,,
,,,,,,,0,,0,,
,,,,,,,0,,0,,
,,,,,,,0,,0,,
,,,,,,,0,,0,,
,,,,,,,0,,0,,
