図鑑No.,名前,対象,発動条件,消滅条件,効果,持ち物ID
1,パワーアングル,自分,場にいる間,-,攻撃力が10上がるが素早さが10下がる,IT-0001
2,闘魂はちまき,自分,場にいる間,-,最初に選択した技に固定されるが技威力が1.5倍になる,IT-0002
3,韋駄天ブーツ,自分,場にいる間,-,最初に選択した技に固定されるが素早さが1.5倍になる,IT-0003
4,万能薬,自分,相手次第,1度のみ使用,状態異常になると自動で1回だけ治してくれる,IT-0004
5,照準のダイス,自分,場にいる間,-,技の命中力が1段階上がる（上限94％）,IT-0005
6,盲目のダイス,自分,場にいる間,-,技の命中力が1段階下がる（100％技は下がらない）,IT-0006
7,呪いのダイス,相互,場にいる間,交換,技の命中力が1段階下がり、相手は命中力が2段階下がる,IT-0007
8,封印の御札,相手,相手次第,1度のみ使用,補助技使用すると失敗する,IT-0008
9,護弱の御札,自分,相手次第,1度のみ使用,〇以上（1.25倍）の属性攻撃を受けると△判定(0.75倍)にする,IT-0009
10,不思議な掃除機,自分,相手次第,1度のみ使用,トラップを仕掛けられたものを自動で吸い込む　交換時は効果は先に受ける,IT-0010
11,破滅の剣,相手,戦闘不能時,-,戦闘不能と引き換えに相手の防御力を半分にする（交換されると能力は戻る）,IT-0011
12,破滅の盾,相手,戦闘不能時,-,戦闘不能と引き換えに相手の攻撃力を半分にする（交換されると能力は戻る）,IT-0012
13,破滅の銃,相手,戦闘不能時,-,戦闘不能と引き換えに相手の素早さを半分にする（交換されると能力は戻る）,IT-0013
14,防護ゴーグル,自分,環境次第,-,ダメージを受ける環境などの効果を受けない,IT-0014
15,緊急バッグ,自分,生命力半分,1度のみ使用,25％回復する,IT-0015
16,トゲトゲアーマー,相手,相手次第,-,受けたダメージの25％相手にも与える,IT-0016
17,癒しのペンダント,自分,毎ターン終了後,-,ターン終了後生命力が10回復する,IT-0017
18,命の苗木,自分,生命力0,1度のみ使用,生命力が0になっても1だけ回復する,IT-0018
