図鑑No.,技名,属性,技種別,威力,命中率,コスト,効果分類,対象,効果内容,継続,発動条件,連続使用,詳細説明,技ID
1,まもる,-,補助,-,-,5,無効,自分,相手からの攻撃を受けない,1ターン,-,0.17,相手からの攻撃を受けない,MK-0001
2,ウォーミングアップ,-,補助,-,-,10,バフ,自分,素早さが10増加する,場にいる間,-,可,交換すると能力は戻る,MK-0002
3,みがわり,-,補助,-,-,15,特殊,自分,生命力を25使ってみがわりを置く,場にいる間,-,可　　　　　　　　（潰れた場合）,交換するとなくなる　相手からのデバフ・特殊技・状態異常技は受けない,MK-0003
4,パンプアップ,-,補助,-,-,15,バフ,自分,攻撃力が10増加する,場にいる間,-,可,交換すると能力は戻る,MK-0004
5,ちからをためる,-,補助,-,-,5,バフ,自分,攻撃力が5増加する,攻撃するまで,-,可,攻撃選択すると戻る　※相手がまもったとしても,MK-0005
6,すてみのかくご,-,補助,-,-,10,バフ/デバフ,自分,技の威力が倍なるが受ける技威力も　　倍になる,1ターン,-,可,攻撃が必ず後攻になる　※攻撃力は倍にならない,MK-0006
7,ビルドアップ,-,補助,-,-,15,バフ,自分,攻撃力・防御力が5増加する,場にいる間,-,可,交換すると能力は戻る,MK-0007
8,みをかためる,-,補助,-,-,5,バフ,自分,受けるダメージが5減少する,場にいる間,-,可,防御力が5増加し交換すると能力は戻る,MK-0008
9,ざつおん,-,補助,-,-,5,デバフ,相手,攻撃力を5減少させる,場にいる間,-,可,交換されると能力は戻る,MK-0009
10,いやなおと,-,補助,-,-,10,デバフ,相手,命中率を1段階減少させる,場にいる間,-,可,94％→89％→72％と下がる　交換されると戻る,MK-0010
11,まきびしをまく,-,補助,-,-,15,トラップ,相手,交換する度に5ダメージくらう,解除されるまで,-,3回まで,３回まくと15ダメージになる　空属性は効果は受けない,MK-0011
12,くものいとをまく,-,補助,-,-,15,トラップ,相手,交換する度に素早さが15減少する,解除されるまで,-,可　　　　　　　　（潰れた場合）,交換されると能力は戻る　炎属性に攻撃されると潰れる,MK-0012
13,モスキートおん,-,補助,-,-,5,デバフ,相手,防御力を5減少させる,場にいる間,-,可,交換されると能力は戻る,MK-0013
14,バナナのかわ,-,補助,-,-,10,デバフ,相手,素早さを10減少させる,場にいる間,-,可,交換されると能力は戻る,MK-0014
15,チャーハンをたべる,-,補助,-,-,5,回復,自分,生命力を30回復する,一度だけ,注文出来たら,-,【お店専用】売切れ時効果なし,MK-0015
